"","F.range","ypr","pspr","Frange2Fcurrent"
"75",1.46,44.791240036891,9.75359908807271,1.11795833698861
"76",1.48,44.675272367025,9.56582705745915,1.13327283475557
"77",1.5,44.5604645850515,9.38336900091626,1.14858733252254
"78",1.52,44.4468459561905,9.20602994541456,1.16390183028951
"79",1.54,44.3344413912744,9.03362354884227,1.17921632805648
"80",1.56,44.2232718201464,8.86597165227106,1.19453082582344
"81",1.58,44.1133545353375,8.70290385896379,1.20984532359041
"82",1.6,44.0047035084179,8.54425713831163,1.22515982135738
"83",1.62,43.8973296812189,8.38987545302564,1.24047431912435
"84",1.64,43.7912412339356,8.23960940803403,1.25578881689131
"85",1.66,43.6864438319536,8.09331591965201,1.27110331465828
"86",1.68,43.5829408530892,7.95085790369706,1.28641781242525
"87",1.7,43.4807335967951,7.8121039813199,1.30173231019221
"88",1.72,43.3798214767536,7.67692820141081,1.31704680795918
"89",1.74,43.2802021981658,7.54520977852312,1.33236130572615
"90",1.76,43.1818719209365,7.41683284533149,1.34767580349312
"91",1.78,43.0848254098589,7.29168621871191,1.36299030126008
"92",1.8,42.989056172814,7.16966317859501,1.37830479902705
"93",1.82,42.8945565879178,7.05066125880293,1.39361929679402
"94",1.84,42.8013180204754,6.93458204913494,1.40893379456098
"95",1.86,42.709330930532,6.82133100801737,1.42424829232795
"96",1.88,42.6185849717489,6.71081728507978,1.43956279009492
"97",1.9,42.5290690822751,6.6029535530627,1.45487728786189
"98",1.92,42.4407715682325,6.49765584850179,1.47019178562885
"99",1.94,42.3536801803823,6.39484342067047,1.48550628339582
"100",1.96,42.2677821845002,6.29443858829701,1.50082078116279
"101",1.98,42.1830644259418,6.19636660360382,1.51613527892976
"102",2,42.0995133888463,6.10055552324622,1.53144977669672
